TvA=calc,IAElist=calc,HastighetMotorA=meas,Ts=calc,Referanse=calc,PowerA=calc,HastighetMotorD=meas,MAElist=calc,PowerD=calc,VinkelPosMotorA=meas,Avvik=calc,abs_Avvik=calc,Avvik_Integrert=calc,TvD=calc,VinkelPosMotorD=meas,Lys=meas,Derivert_Avvik_IIR=calc,Avvik_IIR=calc,Tid=meas
Lys0=34
149.55688907824515,-4.373024940490719,64,0.012319087982178178,34,6.7608104390883685,181,-1.4074074074074074,33.23918956091163,342,7,7,-2.2371090650558463,149.55688907824518,352,27,1.7887204671977732,1.6013258213216002,3.279802083969116
151.7136928802203,-4.290545463562008,64,0.010309934616088867,34,4.604006637113216,190,-1.3835227272727273,35.395993362886784,342,8,8,-2.2010242938995352,151.71369288022032,354,26,2.48252754918276,1.7292993048951681,3.290112018585205
151.84823291800961,-4.169562339782711,55,0.01512289047241211,34,4.738546674902551,198,-1.3569405099150142,35.26145332509745,342,8,8,-2.140532732009887,151.84823291800967,357,26,1.6585984555119626,1.8547133187972646,3.305234909057617
152.07324297382053,-4.096522331237793,49,0.00913000106811479,34,4.513536619091639,204,-1.3305084745762712,35.48646338090836,343,8,8,-2.1040127277374276,152.07324297382058,359,26,2.692348723885371,1.9776190524213193,3.314364910125732
154.3484218780025,-3.9731950759887695,39,0.017618179321289062,34,6.788715523273629,217,-1.304225352112676,33.21128447672637,344,7,7,-2.0335400104522714,154.34842187800257,363,27,1.1402724097625352,2.078066671372893,3.331983089447021
156.3169586511995,-3.893521308898923,39,0.013278961181641069,34,8.757252296470625,222,-1.2808988764044944,31.242747703529375,344,6,6,-1.9870636463165277,156.31695865119957,366,28,1.181397633438198,2.1565053379454353,3.345262050628662
158.39733020444686,-3.805741548538203,39,0.017555952072144,34,10.837623849717977,225,-1.2605042016806722,29.16237615028202,344,5,5,-1.9343957901000957,158.39733020444692,370,29,0.6478702266603532,2.2133752311865265,3.362818002700806
158.57205052956272,-3.767936706542964,27,0.0075609683990478516,34,10.662903524602108,224,-1.2430167597765363,29.337096475397892,344,5,5,-1.915493369102476,158.57205052956277,372,29,1.4742157997456526,2.269107726562796,3.370378971099854
160.7453506499887,-3.7152204513549756,27,0.01317906379699707,34,12.836203645028096,220,-1.2256267409470751,27.163796354971904,345,4,4,-1.8825457096099834,160.74535064998875,374,30,0.5253460488844759,2.3037255720315404,3.383558034896851
160.8068483999298,-3.6808605194091766,27,0.008589982986449751,34,12.774705895086992,217,-1.211111111111111,27.225294104913008,345,4,4,-1.8653657436370839,160.80684839992986,376,30,0.7898848836577458,2.3376510605909098,3.392148017883301
162.90100965327142,-3.651424884796141,29,0.009811878204345259,34,14.868867148428613,214,-1.1966759002770082,25.131132851571387,346,3,3,-1.8457419872283933,162.90100965327147,378,31,0.2700192259279205,2.3508980393790915,3.401959896087646
164.9740488862933,-3.6305308341979945,48,0.010447025299073154,34,16.94190638145051,201,-1.1850828729281768,23.05809361854949,346,2,2,-1.8300714492797836,164.97404888629336,383,32,-0.13435328405310537,2.3438800785915097,3.412406921386719
168.9906478560398,-3.6305308341979945,56,0.031629085540770596,34,20.95850535119701,195,-1.1763085399449036,19.04149464880299,348,0,0,-1.798442363739013,168.99064785603986,386,34,-0.2964208466375301,2.2970024770196793,3.44403600692749
169.10667271302637,-3.6305308341979945,60,0.010482072830200195,34,21.074530208183592,187,-1.1730769230769231,18.925469791816408,348,0,0,-1.798442363739013,169.10667271302643,388,34,-0.8765451315704327,2.251062427479286,3.45451807975769
171.0926785352137,-3.6466536521911586,66,0.016122817993164062,34,23.06053603037094,177,-1.16986301369863,16.93946396962906,350,-1,1,-1.798442363739013,171.09267853521376,392,35,-0.8065742425071601,2.1860411789297003,3.470640897750854
171.1498088343499,-3.6584818363189666,78,0.011828184127808061,34,23.117666329507138,166,-1.169398907103825,16.882333670492862,351,-1,1,-1.804356455802917,171.14980883434995,393,35,-1.0774405080283889,2.122320355351106,3.482469081878662
171.19534445577628,-3.6681406497955296,85,0.009658813476562944,34,23.163201950933512,156,-1.1689373297002725,16.836798049066488,352,-1,1,-1.8091858625411985,171.19534445577634,394,35,-1.293045098314574,2.0598739482440838,3.492127895355225
171.2186382480807,-3.6786608695983856,95,0.010520219802856001,34,23.13990815862909,148,-1.1684782608695652,16.86009184137091,353,-1,1,-1.8144459724426265,171.21863824808077,396,35,-1.163425862038894,1.9986764692792018,3.502648115158081
171.28638364093118,-3.6935408115386936,99,0.014879941940308061,34,23.072162765778632,137,-1.1680216802168022,16.927837234221368,354,-1,1,-1.8218859434127805,171.28638364093123,398,35,-0.8060989703612036,1.9387029398936177,3.517528057098389
171.42353839339057,-3.7014727592468235,103,0.007931947708129883,34,23.20931751823804,131,-1.1675675675675676,16.79068248176196,355,-1,1,-1.8258519172668455,171.42353839339063,399,35,-1.4819577980230942,1.8799288810957453,3.525460004806519
171.46428251329564,-3.7105658054351776,109,0.009093046188354048,34,23.168573398332974,127,-1.1671159029649596,16.831426601667026,356,-1,1,-1.8303984403610225,171.4642825132957,400,35,-1.266870890762319,1.8223303034738303,3.534553050994873
173.60538372950998,-3.7105658054351776,114,0.013383865356444868,34,21.027472182118622,118,-1.1666666666666667,18.972527817881378,358,0,0,-1.837090373039245,173.60538372951004,402,34,-0.5446349779949943,1.7858836974043537,3.547936916351318
175.68333543839603,-3.6902687549591024,124,0.020297050476075107,34,18.949520473232564,113,-1.1635388739946382,21.050479526767436,360,1,1,-1.837090373039245,175.68333543839609,404,33,-0.15487643356471037,1.7701660234562666,3.568233966827393
177.73557093519463,-3.6707265377044647,125,0.009771108627318892,34,16.89728497643395,112,-1.1577540106951871,23.10271502356605,362,2,2,-1.8322048187255855,177.7355709351947,405,32,0.09408716464420303,1.7747627029871413,3.578005075454712
181.81532316987708,-3.590278387069701,120,0.020112037658690962,34,12.817532741751519,115,-1.1493333333333333,27.18246725824848,364,4,4,-1.8120927810668945,181.8153231698771,407,30,0.4425682439096419,1.8192674489273986,3.598117113113403
183.87817082663403,-3.4939644336700404,109,0.019262790679932085,34,10.754685084994554,129,-1.1356382978723405,29.245314915005444,366,5,5,-1.7735671997070304,183.87817082663406,410,29,0.6604925742948107,1.8828820999488507,3.617379903793335
183.9622579345089,-3.4318242073059047,92,0.012428045272827148,34,10.670597977119698,143,-1.1193633952254642,29.329402022880302,367,5,5,-1.7424970865249625,183.96225793450893,412,29,1.0032528307139201,1.9452244579498736,3.629807949066162
186.0354741810872,-3.3564333915710387,87,0.012565135955810991,34,8.597381730541391,158,-1.1031746031746033,31.402618269458607,368,6,6,-1.711084246635435,186.03547418108724,414,28,1.2908019638816264,2.026319968790876,3.642373085021973
188.01263070325766,-3.2214887142181334,74,0.01927781105041504,34,6.62022520837094,171,-1.0844327176781003,33.37977479162906,369,7,7,-1.65325081348419,188.01263070325768,417,27,1.0320009918557733,2.1257935694150585,3.661650896072388
190.12119107373292,-3.0901429653167662,69,0.0164182186126709,34,4.511664837895687,179,-1.063157894736842,35.48833516210431,370,8,8,-1.5957870483398418,190.12119107373294,420,26,1.4311434313711648,2.2432776980267572,3.678069114685059
190.49684054195336,-3.0332562923431334,57,0.0071108341217041016,34,4.136015369675231,185,-1.0393700787401574,35.863984630324765,370,8,8,-1.5673437118530253,190.4968405419534,422,26,3.2382824312564042,2.358412144066222,3.685179948806763
192.91939150585313,-2.892717361450192,45,0.020076990127563032,34,6.558566333574985,193,-1.0157068062827226,33.44143366642501,371,7,7,-1.4870357513427732,192.91939150585313,426,27,0.924757710482011,2.4512439011848977,3.705256938934326
