abs_avik=calc,Referanse=calc,PowerD=calc,avvik=calc,joySide=meas,Ts=calc,Tid=meas,TvD=calc,Lys=meas,MAEList=calc,TvA=calc,joyForward=meas,IAEList=calc,PowerA=calc
Lys0=36
,36,2.032578011749448,0,-4.689097428854816,0.03023314476013184,1.82635498046875,4.434958419165334,36,0.1864406779661017,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02916407585144043,1.85551905632019,4.434958419165334,36,0.1833333333333333,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03025484085083008,1.885773897171021,4.434958419165334,36,0.180327868852459,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03217911720275879,1.917953014373779,4.434958419165334,36,0.1774193548387097,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02744102478027344,1.945394039154053,4.434958419165334,36,0.1746031746031746,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03056883811950684,1.97596287727356,4.434958419165334,36,0.171875,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.04925918579101563,2.025222063064575,4.434958419165334,36,0.1692307692307693,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03162193298339844,2.056843996047974,4.434958419165334,36,0.1666666666666667,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02637887001037598,2.08322286605835,4.434958419165334,36,0.1641791044776119,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03306412696838379,2.116286993026733,4.434958419165334,36,0.1617647058823529,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03713202476501465,2.153419017791748,4.434958419165334,36,0.1594202898550725,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02633500099182129,2.179754018783569,4.434958419165334,36,0.1571428571428571,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.618524452582593,0,-4.689097428854816,0.03267002105712891,2.212424039840698,5.020904859998479,36,0.1549295774647887,4.648279545281154,1.954680704966816,0.3900461196899414,-0.6638437476157777
,36,2.618524452582593,0,-4.689097428854816,0.03078389167785645,2.243207931518555,5.020904859998479,36,0.1527777777777778,4.648279545281154,1.954680704966816,0.3900461196899414,-0.6638437476157777
,36,2.032578011749448,0,-4.689097428854816,0.02750897407531738,2.270716905593872,5.606851300831625,36,0.1506849315068493,5.2342259861143,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.852903028915844,0,-7.032883192187378,0.03249502182006836,2.30321192741394,6.427176317998022,36,0.1486486486486487,6.054551003280697,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,2.852903028915844,0,-7.032883192187378,0.02877712249755859,2.331989049911499,6.427176317998022,36,0.1466666666666667,6.054551003280697,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,2.852903028915844,0,-7.032883192187378,0.03029084205627441,2.362279891967773,6.427176317998022,36,0.1447368421052632,6.054551003280697,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,2.852903028915844,0,-7.032883192187378,0.02807497978210449,2.390354871749878,6.427176317998022,36,0.1428571428571428,6.054551003280697,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,3.43884946974899,0,-7.032883192187378,0.02972817420959473,2.420083045959473,7.013122758831168,36,0.141025641025641,6.640497444113842,1.954680704966816,0.3900461196899414,-1.484168764782174
,36,3.43884946974899,0,-7.032883192187378,0.03133487701416016,2.451417922973633,7.013122758831168,36,0.1392405063291139,6.640497444113842,1.954680704966816,0.3900461196899414,-1.484168764782174
,36,2.852903028915844,0,-7.032883192187378,0.02941012382507324,2.480828046798706,7.599069199664314,36,0.1375,7.226443884946988,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,2.852903028915844,0,-7.032883192187378,0.03145885467529297,2.512286901473999,7.599069199664314,36,0.1358024691358025,7.226443884946988,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,2.852903028915844,0,-7.032883192187378,0.0278770923614502,2.540163993835449,7.599069199664314,36,0.1341463414634146,7.226443884946988,0.7827878233005237,0.3900461196899414,-2.07011520561532
,36,4.024795910582131,0,-7.032883192187378,0.03535604476928711,2.575520038604736,8.7709620813306,36,0.1325301204819277,8.398336766613275,3.126573586633097,0.3900461196899414,-0.8982223239490336
,36,3.204470893415734,0,-4.689097428854816,0.03263688087463379,2.60815691947937,9.591287098496997,36,0.130952380952381,9.218661783779671,3.126573586633097,0.3900461196899414,-0.07789730678263718
,36,3.204470893415734,0,-4.689097428854816,0.03029513359069824,2.638452053070068,9.591287098496997,36,0.1294117647058824,9.218661783779671,3.126573586633097,0.3900461196899414,-0.07789730678263718
,36,3.985732814526593,0,-4.689097428854816,0.03144693374633789,2.669898986816406,10.37254901960786,36,0.1279069767441861,9.999923704890531,4.689097428854816,0.3900461196899414,0.7033646143282224
