Lys=calc,TvA=calc,Avvik_IIR_Derivert=calc,Referanse=calc,HastighetMotorD=meas,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,Avvik_IIR=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Tid=meas,Avvik_Integrert=calc
No specified init-data
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005507946014404297,0,0.5433399677276611,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005329132080078125,0,0.5486690998077393,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00647282600402832,0,0.5551419258117676,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0072841644287109375,0,0.5624260902404785,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0033600330352783203,0,0.5657861232757568,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006004810333251953,0,0.5717909336090088,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006654024124145508,0,0.5784449577331543,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006562948226928711,0,0.585007905960083,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0059452056884765625,0,0.5909531116485596,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0052127838134765625,0,0.5961658954620361,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004848003387451172,0,0.6010138988494873,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007758140563964844,0,0.6087720394134521,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0050389766693115234,0,0.6138110160827637,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006043910980224609,0,0.6198549270629883,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0064640045166015625,0,0.6263189315795898,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004132986068725586,0,0.6304519176483154,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005771160125732422,0,0.6362230777740479,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006367921829223633,0,0.6425909996032715,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005410909652709961,0,0.6480019092559814,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006576061248779297,0,0.6545779705047607,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0045621395111083984,0,0.6591401100158691,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005711793899536133,0,0.6648519039154053,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006244182586669922,0,0.6710960865020752,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006561994552612305,0,0.6776580810546875,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00530695915222168,0,0.6829650402069092,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006864070892333984,0,0.6898291110992432,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004458904266357422,0,0.6942880153656006,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0063440799713134766,0,0.7006320953369141,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0060389041900634766,0,0.7066709995269775,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0072231292724609375,0,0.7138941287994385,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005429983139038086,0,0.7193241119384766,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00741887092590332,0,0.7267429828643799,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004174947738647461,0,0.7309179306030273,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0069200992584228516,0,0.7378380298614502,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00551605224609375,0,0.743354082107544,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005897998809814453,0,0.7492520809173584,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006693840026855469,0,0.7559459209442139,0
