Power=calc,e_d=calc,Referanse=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,e_i=calc,e_f=calc,PowerA=calc,e_k=calc
No specified init-data
0,0,220,0,0.3316948413848877,220,0.00513386726379389,0,0,0,0
0,0,220,0,0.3377230167388916,220,0.006028175354003906,0,0,0,0
0,0,220,0,0.3488619327545166,220,0.011138916015625,0,0,0,0
0,0,220,0,0.3521158695220947,220,0.003253936767578125,0,0,0,0
0,0,220,0,0.3581769466400146,220,0.006061077117919866,0,0,0,0
0,0,220,0,0.3619658946990967,220,0.0037889480590820868,0,0,0,0
0,0,220,0,0.3674700260162354,220,0.005504131317138727,0,0,0,0
0,0,220,0,0.3739159107208252,220,0.006445884704589788,0,0,0,0
0,0,220,0,0.3783040046691895,220,0.004388093948364313,0,0,0,0
0,0,220,0,0.3878128528594971,220,0.009508848190307617,0,0,0,0
0,0,220,0,0.3915300369262695,220,0.00371718406677235,0,0,0,0
0,0,220,0,0.3979198932647705,220,0.006389856338501032,0,0,0,0
0,0,220,0,0.4034829139709473,220,0.005563020706176813,0,0,0,0
0,0,220,0,0.4092068672180176,220,0.005723953247070257,0,0,0,0
0,0,220,0,0.4167490005493164,220,0.007542133331298828,0,0,0,0
0,0,220,0,0.4197750091552734,220,0.0030260086059569757,0,0,0,0
0,0,220,0,0.4264650344848633,220,0.006690025329589899,0,0,0,0
0,0,220,0,0.4327628612518311,220,0.006297826766967829,0,0,0,0
0,0,220,0,0.4385888576507568,220,0.00582599639892567,0,0,0,0
0,0,220,0,0.4459869861602783,220,0.00739812850952154,0,0,0,0
0,0,220,0,0.4496958255767822,220,0.0037088394165039062,0,0,0,0
0,0,220,0,0.4557979106903076,220,0.006102085113525391,0,0,0,0
0,0,220,0,0.4619369506835938,220,0.006139039993286188,0,0,0,0
0,0,220,0,0.4659419059753418,220,0.004004955291747991,0,0,0,0
0,0,220,0,0.4715988636016846,220,0.005656957626342829,0,0,0,0
0,0,220,0,0.478428840637207,220,0.00682997703552235,0,0,0,0
0,0,220,0,0.4859559535980225,220,0.007527112960815541,0,0,0,0
0,0,220,0,0.4894859790802002,220,0.003530025482177679,0,0,0,0
0,0,220,0,0.495913028717041,220,0.00642704963684082,0,0,0,0
0,0,220,0,0.5015759468078613,220,0.0056629180908203125,0,0,0,0
0,0,220,0,0.5079560279846191,220,0.0063800811767578125,0,0,0,0
0,0,220,0,0.5159668922424316,220,0.0080108642578125,0,0,0,0
0,0,220,0,0.5183868408203125,220,0.0024199485778808594,0,0,0,0
0,0,220,0,0.5261349678039551,220,0.007748126983642578,0,0,0,0
0,0,220,0,0.5295870304107666,220,0.0034520626068115234,0,0,0,0
0,0,220,0,0.5358169078826904,220,0.006229877471923828,0,0,0,0
0,0,220,0,0.5415918827056885,220,0.005774974822998047,0,0,0,0
0,0,220,0,0.5485429763793945,220,0.006951093673706055,0,0,0,0
0,0,220,0,0.5523879528045654,220,0.0038449764251708984,0,0,0,0
0,0,220,0,0.5577678680419922,220,0.005379915237426758,0,0,0,0
0,0,220,0,0.5634949207305908,220,0.005727052688598633,0,0,0,0
0,0,220,0,0.5682249069213867,220,0.0047299861907958984,0,0,0,0
0,0,220,0,0.5756049156188965,220,0.007380008697509766,0,0,0,0
0,0,220,0,0.5799398422241211,220,0.004334926605224609,0,0,0,0
0,0,220,0,0.5855309963226318,220,0.005591154098510742,0,0,0,0
0,0,220,0,0.5907340049743652,220,0.0052030086517333984,0,0,0,0
0,0,220,0,0.5973498821258545,220,0.006615877151489258,0,0,0,0
0,0,220,0,0.601524829864502,220,0.004174947738647461,0,0,0,0
0,0,220,0,0.6081860065460205,220,0.006661176681518555,0,0,0,0
0,0,220,0,0.6133840084075928,220,0.005198001861572266,0,0,0,0
0,0,220,0,0.6196188926696777,220,0.006234884262084961,0,0,0,0
0,0,220,0,0.6274058818817139,220,0.007786989212036133,0,0,0,0
0,0,220,0,0.6342020034790039,220,0.006796121597290039,0,0,0,0
0,0,220,0,0.638232946395874,220,0.004030942916870117,0,0,0,0
0,0,220,0,0.644305944442749,220,0.006072998046875,0,0,0,0
0,0,220,0,0.6494529247283936,220,0.005146980285644531,0,0,0,0
0,0,220,0,0.6565899848937988,220,0.0071370601654052734,0,0,0,0
0,0,220,0,0.6600158214569092,220,0.0034258365631103516,0,0,0,0
